""," ’»Î","co2","«¯”Ú"
"90",73112.4324324324,11554.1749724108,"1"
"91",76720.2432432432,8650.12404208108,"1"
"92",80632.1891891892,12972.732527973,"1"
"93",84881.4324324324,9979.86602483784,"1"
"94",89786.7837837838,10398.6353860162,"1"
"95",95659.7297297297,12450.1310015135,"1"
"96",101763.702702703,18614.091941027,"1"
"97",110788.540540541,14374.7036085351,"1"
"98",124643.432432432,12322.2939548649,"1"
"99",146880.216216216,11860.4688314865,"1"
"100",201858.243243243,15808.6544381351,"1"
"101",48.4,2436.52779038909,"2"
"102",107.127272727273,1820.75707094036,"2"
"103",182.109090909091,2600.47289733382,"2"
"104",222.636363636364,2711.46650112255,"2"
"105",301.509090909091,2665.42640780364,"2"
"106",384.636363636364,2877.03549237091,"2"
"107",476.709090909091,2150.49778860182,"2"
"108",562.254545454545,2325.602863722,"2"
"109",656.454545454545,2176.16904289582,"2"
"110",713.127272727273,1845.43599786818,"2"
"111",797.109090909091,2609.04326249636,"2"
"112",895.418181818182,2204.823448966,"2"
"113",988,2121.55829748727,"2"
"114",1087.27272727273,2042.076462728,"2"
"115",1228.90909090909,2790.20642855273,"2"
"116",1349.05454545455,1808.92872931818,"2"
"117",1447.45454545455,2965.11680970545,"2"
"118",1574.45454545455,1831.32280531836,"2"
"119",1732.4,2538.59414972309,"2"
"120",1869.30909090909,2284.50685283818,"2"
"121",1997.2,1991.86983958,"2"
"122",2127.61818181818,2647.73057674727,"2"
"123",2282.23636363636,3126.94101161091,"2"
"124",2408.83636363636,2301.90061369273,"2"
"125",2556,2583.04106081636,"2"
"126",2739.8,2322.53015068364,"2"
"127",2951.38181818182,3368.29723605091,"2"
"128",3110.81818181818,2954.63792372727,"2"
"129",3261.12727272727,2801.24793709273,"2"
"130",3459.43636363636,2393.49022517818,"2"
"131",3714.03636363636,2535.76908518,"2"
"132",3931.78181818182,2609.28280021455,"2"
"133",4172.2,2613.98566380364,"2"
